row_id,trigger,target,specification
1140,giving a gift to opposite gender,how to present the gift,say the gift is from your spouse
1141,,,
1142,passing through a conversation,behavior during passage,excuse oneself before passing
1143,public transport or waiting areas,offering seat,offer your seat to those in greater need
1144,passing through a conversation,how to interrupt,excuse oneself politely
1145,,,
1146,small gatherings,greeting and farewell,greet and say farewell to each person individually
1147,social gatherings,greetings and farewells,perform individual greetings and farewells
1148,attending a communal meal,bringing a dish,bring a dish to share
1149,attending a communal meal,guest behavior,bring a dish to share
1150,attending a barbecue,guest behavior,bring a dish to share
1151,receiving a gift,how to open the gift,open it in the presence of the giver
1152,being invited to someone's home,type of gift to bring,"bring a modest, sharable gift"
1153,receiving a gift,when to open the gift,open it immediately to show gratitude
1154,offering or receiving items,how to do it,use both hands to show respect
1155,receiving or offering items,how to use hands,use both hands to show respect
1156,offering or receiving items,how to do it,use both hands to show respect
1157,being invited to someone's home,bringing a gift,bring a small gift to show appreciation
1158,being invited to someone's home,bringing a gift,bring a small gift as gratitude
1159,visiting someone's home,behavior upon entry,bring a small gift and take off shoes
1160,starting a meal,order of eating,eldest should begin first
1161,starting to eat,when to begin eating,wait for elders to start
1162,starting to eat,who begins eating,wait for the eldest to start
1163,giving a gift,how to present the gift,wrap it appropriately and avoid negative symbols
1164,choosing a gift,gift's symbolic meaning,consider the symbolic meaning carefully
1165,seeing an older person,offering a seat,always offer your seat
1166,elder enters room,offering seat,stand up when they enter
1167,elder enters the room,standing up,stand up when an elder enters the room
1168,receiving an offer or compliment,initial response,initially decline politely
1169,being offered something,how to respond to offers,politely decline twice before accepting
1170,complimenting an item,how to express appreciation,express appreciation once and avoid excessive praise
1171,being offered refreshments by a host,acceptance of refreshments,always accept to show respect
1172,being offered a refreshment,acceptance of refreshment,accept the refreshment politely
1173,being offered a refreshment,acceptance of the refreshment,always accept to show respect
1174,serving from a communal dish,which hand to use,use your right hand
1175,during communal dining,which hand to use,use your right hand
1176,communal meals,how to serve oneself,use your right hand from your section
1177,offering a gift,how to offer the gift,persistently offer if refused initially
1178,giving a gift and initial refusal,how to offer the gift,persistently offer the gift multiple times
1179,refusing a gift,offering the gift,persist in offering multiple times
1180,public gatherings,dress code,dress neatly
1181,attending social occasions,dress code,dress neatly
